            Comp.1       Comp.2       Comp.3        Comp.4        Comp.5
 [49,]  1.17162236  0.090940228 -0.331368569  0.0243921982 -0.3874954264
 [50,]  1.07888167  0.410348796  0.284473690 -0.0481222252 -0.0990262054
 [51,]  0.97726001 -0.415732636  0.429263855 -0.3129676903 -0.1275793247
 [52,]  0.87050448 -1.074813120  0.065673382 -0.7232634042  0.0806621149
 [53,]  0.86446475  0.178577876 -0.328107434  0.0119652454  0.2183323382
 [54,]  0.85677332  0.356733198  0.394247728 -0.0507139708  0.0170792267
 [55,]  0.73144056 -0.085083476 -0.033855069 -0.0773493506  0.0415857544
 [56,]  0.53944447  0.160623863 -0.460942782 -0.2071260052 -0.3887437054
 [57,]  0.50507212 -0.404159792  0.858843593 -0.2209058386  0.3775877164
 [58,]  0.49001334 -0.100317237  0.141160228 -0.0178356959  0.0009931694
 [59,]  0.46442517  0.090754054  1.017063742  0.0965940711 -0.2080911382
 [60,]  0.42500657  0.557076824  0.027872899 -0.1881082888 -0.0947701199
 [61,]  0.37876489  0.504215627  0.037621455 -0.1799290161  0.0952108305
 [62,]  0.33020857 -0.331558133 -0.119606078 -0.6558377977  0.0601519833
 [63,]  0.31474311  0.769222357  0.421689579  0.0650975507  0.0436148707
 [64,]  0.30511515 -0.705957377  0.631455530 -0.5804343567  0.5325867264
 [65,]  0.22897719  0.416201963 -0.242549248 -0.1595463439 -0.1123581253
 [66,]  0.07692453 -0.475619805  0.186426863  0.3964893054  0.2197732072
 [67,] -0.08647730 -0.260555714  0.673027701  0.2268751667 -0.4279752044
 [68,] -0.09383454  0.342985538  0.232753052  0.4312413103  0.2432690480
 [69,] -0.15548152  0.134784649  0.203027851 -0.1698351189  0.1757606090
 [70,] -0.23871855 -0.402018989 -0.075219443  0.2271556543 -0.1469457147
 [71,] -0.24706015  0.321515312  0.250980774  0.0569504190 -0.1270759417
 [72,] -0.31739963 -0.689543491  0.619776360 -0.1684290638  0.1017772687
 [73,] -0.37454987 -0.588279929 -0.388781365  0.1530293076 -0.2760750432
 [74,] -0.37892822  1.428394641  0.772224787 -0.1872776335 -0.1143746287
